IDS,Hier4Labels,SUS,age,vui_xp,technical_skill,task_completed,menu_usage,mental_model_self1,mental_model_self2,mental_model_grade,feedback_visual,thinking,feeling,watching,doing,init,sus,first_strat,primary_strat,perception,processing,learning_style,balance_acce,balance_aero
pid047b8d0927c9ec39ca970e24ac275195,0,62.5,22,0,8,10,3,5,5,1,5,31,24,26,39,DC,62.5,guess,assim_bias,7,13,accommodater,2,7
pid04b8f0e0b007f8bc4d3221f59f9dfc03,1,35,22,0,1,9,3,2,1,3,5,45,17,21,37,DC,35,guess,menu,28,16,converger,19,10
pid0e4ac74e25280d951deeca680c9f7aad,3,72.5,19,4,4,9,2,4,1,3,3,26,23,39,32,User,72.5,programmatic,menu,3,-7,diverger,6,13
pid0e507a5dfb41d53c8f2bde6e9ea8dfa4,0,35,20,1,6,0,0,2,2,1,3,23,42,28,27,User,35,guess,assim_bias,-19,-1,diverger,28,7
pid10c34727917bf7d77fb6bc024f26af75,2,67.5,19,3,3,10,2,4,4,3,4,26,24,27,43,User,67.5,menu,menu,2,16,accommodater,7,10
pid233c4312e91b98087b31266418446557,0,75,21,1,1,10,1,3,3,3,5,26,19,34,41,DC,75,programmatic,programmatic,7,7,accommodater,2,1
pid263bbf86a69ace74ad6ccc51a93575d4,1,75,20,1,5,10,3,5,5,2,5,14,34,29,43,User,75,person,menu,-20,14,accommodater,29,8
pid33c8a822bccabf26a97b70d1e7f751f1,2,62.5,22,1,8,10,2,4,4,3,4,30,28,21,41,User,62.5,assim_bias,assim_bias,2,20,accommodater,7,14
pid37dc9562aada50534f1beac6b433df54,0,47.5,23,0,7,8,4,2,3,1,4,44,19,29,28,DC,47.5,guess,menu,25,-1,assimilator,16,7
pid386947c9fd791fe84ed1144d90068c6d,0,85,24,5,3,10,2,4,4,2,2,31,19,36,34,User,85,assim_bias,assim_bias,12,-2,assimilator,3,8
pid3b309e3f9e849803eeeb221485884125,2,87.5,22,1,6,10,3,3,2,1,1,21,34,36,29,User,87.5,menu,menu,-13,-7,diverger,22,13
pid4dbcd018bdf695e0353db0e1df665433,2,42.5,19,4,5,10,3,4,3,1,3,31,24,42,23,User,42.5,assim_bias,menu,7,-19,diverger,2,25
pid5a6d95c58e39e1ac0b2e0f8e1fb26cc0,0,50,20,0,5,10,1,3,3,1,3,25,29,24,42,DC,50,person,menu,-4,18,accommodater,13,12
pid5c1546d2c6022b43038782c767bf20d8,3,65,20,1,1,10,3,3,2,2,2,31,20,30,39,DC,65,person,menu,11,9,converger,2,3
pid5ee9b9a46529c1a8bb42a68ee7546005,0,30,19,1,6,10,1,2,4,2,2,36,33,26,25,User,30,programmatic,programmatic,3,-1,diverger,6,7
pid5f3c79c122f774dcf9dfd76163ed441a,0,95,20,5,8,10,2,4,4,3,2,26,24,33,37,User,95,menu,assim_bias,2,4,diverger,7,2
pid6195e7dd5816370a3d4eea9ff2cf28be,1,47.5,19,0,1,9,2,3,3,3,4,33,17,36,34,DC,47.5,programmatic,menu,16,-2,assimilator,7,8
pid643388e8d217e4ebcd97e314e83bcd0c,2,12.5,21,4,8,10,0,1,1,1,5,32,26,29,33,DC,12.5,person,guess,6,4,diverger,3,2
pid77b9f38cd224359b2820b339c1e4979f,2,80,20,1,6,9,3,3,2,3,4,35,22,35,28,User,80,menu,programmatic,13,-7,assimilator,4,13
pid782237a8fa72c0f04d172b4a02c9902c,2,90,20,1,5,10,2,4,3,3,3,34,18,24,44,User,90,programmatic,assim_bias,16,20,converger,7,14
pid79189cb455f1d274c98223a3a777b0a8,1,42.5,18,5,2,2,3,3,4,2,4,27,26,32,35,DC,42.5,menu,menu,1,3,diverger,8,3
pid80c2bc630d65e6a41a9549fb9ab04001,1,35,21,2,1,10,2,3,4,1,5,35,20,40,25,User,35,menu,menu,15,-15,assimilator,6,21
pid815866c502de35c92f9a3fd8633e1ec7,3,75,19,2,2,10,3,5,4,3,2,22,35,23,40,User,75,assim_bias,menu,-13,17,accommodater,22,11
pid8610d0c6a488a6635e32ad192a22b60f,3,82.5,49,5,4,9,2,4,5,1,3,38,26,27,29,User,82.5,menu,menu,12,2,assimilator,3,4
pid86a9440fa2d5a9c501c7c1dc249d5cf7,0,85,24,1,4,10,2,3,2,1,4,29,22,33,36,User,85,assim_bias,menu,7,3,diverger,2,3
pid875e0f3b9dc56002dab47ab9039f1bdb,0,27.5,19,0,1,9,2,5,1,2,5,29,27,42,22,DC,27.5,assim_bias,guess,2,-20,diverger,7,26
pid8c9b323a057698ac317263209abb277c,3,42.5,62,0,10,9,3,4,4,3,3,32,18,36,34,DC,42.5,person,menu,14,-2,assimilator,5,8
pid8cf394f7dc811c8327b3d226bb1bac90,2,40,22,5,9,6,3,3,2,3,4,38,24,21,37,User,40,programmatic,assim_bias,14,16,converger,5,10
pid97983750f7da560c04295ded7df7a1fa,3,22.5,33,5,6,5,4,2,2,1,5,25,25,32,38,User,22.5,assim_bias,programmatic,0,6,diverger,9,0
pid989d05e3bdd091aa0757486defa4f19b,0,72.5,19,0,7,10,2,4,4,1,4,42,26,26,26,DC,72.5,programmatic,programmatic,16,0,assimilator,7,6
pidb3dfeca0dee852e21751c909aeddae09,2,25,22,1,8,7,2,2,2,3,3,37,32,17,34,User,25,guess,programmatic,5,17,accommodater,4,11
pidc1448dc801ac469319b47e4a76ec0879,2,25,19,3,3,10,3,4,4,1,2,26,21,40,33,User,25,assim_bias,menu,5,-7,diverger,4,13
pidc26b859596e60c13de5c5ad5dde4c9d8,3,62.5,23,0,7,10,3,4,2,1,3,17,31,33,39,User,62.5,guess,menu,-14,6,diverger,23,0
pidc824f2ff6a8472fff2d23572ddbe2b8a,0,80,18,4,1,10,3,5,3,1,5,24,28,39,29,User,80,assim_bias,menu,-4,-10,diverger,13,16
pidca8348988a696b60fe09046a4bb569fd,0,60,21,5,6,8,3,5,4,3,3,31,25,32,32,DC,60,assim_bias,menu,6,0,diverger,3,6
pidcec888dd17fdff48f73f503aa632b863,2,95,22,1,3,10,3,5,4,3,2,36,28,18,38,User,95,menu,menu,8,20,converger,1,14
pidd36c39ddfd8dddf35c6222f06586bc1b,1,57.5,50,5,2,10,2,4,2,1,2,35,19,24,42,DC,57.5,programmatic,programmatic,16,18,converger,7,12
pidd7078a729a295d9e8382da4f2e448366,1,37.5,21,0,10,10,3,1,5,1,5,33,30,21,36,User,37.5,menu,menu,3,15,accommodater,6,9
pidda7d13d9d87b0ad6b0912862fe49a2a3,0,70,20,0,3,10,2,4,3,3,3,26,30,26,38,User,70,guess,menu,-4,12,accommodater,13,6
pidde2bf9ae9e166b14a1d1904999f748ad,2,50,22,3,6,9,2,4,1,3,2,31,24,24,41,DC,50,person,menu,7,17,accommodater,2,11
