IDS,Hier4Labelsv1,SUS,age,vui_xp,technical_skill,task_completed,menu_usage,mental_model_self1,mental_model_self2,mental_model_grade,feedback_visual,thinking,feeling,watching,doing,init,sus,first_strat,primary_strat,perception,processing,learning_style,balance_acce,balance_aero,time,utterances,unknownUtterances,entities,totalUtteranceTime,misfires,repeats,errors,words,cancels,inserts,create,delete,deleteConfirm,deleteReject,modify,end,start,modInvite,location,title,modInviteRemove,invite,inviteRemove,repetition,simplification,newKeyword,useMoreInfo,restarting,totalTactics
pid047b8d0927c9ec39ca970e24ac275195,0,62.5,22,0,8,10,3,5,5,1,5,31,24,26,39,DC,62.5,guess,assim_bias,7,13,accommodater,2,7,1265593,62,2,56,102718,9,16,23,187,5,8,15,6,5,0,1,0,9,0,1,2,0,4,0,9,4,4,5,1,23
pid04b8f0e0b007f8bc4d3221f59f9dfc03,1,35,22,0,1,9,3,2,1,3,5,45,17,21,37,DC,35,guess,menu,28,16,converger,19,10,910982,70,6,63,177524,16,25,38,280,7,4,23,4,2,0,4,0,6,0,10,0,1,0,1,6,8,6,3,4,27
pid0e4ac74e25280d951deeca680c9f7aad,3,72.5,19,4,4,9,2,4,1,3,3,26,23,39,32,User,72.5,programmatic,menu,3,-7,diverger,6,13,938362,65,4,60,232351,45,23,30,315,3,7,10,3,3,0,7,3,18,1,1,4,0,0,0,6,7,11,10,1,35
pid0e507a5dfb41d53c8f2bde6e9ea8dfa4,0,35,20,1,6,0,0,2,2,1,3,23,42,28,27,User,35,guess,assim_bias,-19,-1,diverger,28,7,504472,44,5,42,107620,11,18,24,201,1,4,14,2,1,0,4,0,9,0,4,0,0,0,0,2,4,3,6,0,15
pid10c34727917bf7d77fb6bc024f26af75,2,67.5,19,3,3,10,2,4,4,3,4,26,24,27,43,User,67.5,menu,menu,2,16,accommodater,7,10,566512,43,1,36,97574,3,5,8,154,2,8,7,3,3,0,5,3,5,1,4,1,0,0,0,5,3,0,2,0,10
pid233c4312e91b98087b31266418446557,0,75,21,1,1,10,1,3,3,3,5,26,19,34,41,DC,75,programmatic,programmatic,7,7,accommodater,2,1,831946,51,3,36,170406,8,13,19,205,3,9,11,6,3,0,3,0,7,1,3,0,0,0,0,5,4,1,3,1,14
pid263bbf86a69ace74ad6ccc51a93575d4,1,75,20,1,5,10,3,5,5,2,5,14,34,29,43,User,75,person,menu,-20,14,accommodater,29,8,994832,74,6,60,274906,4,26,34,355,2,5,13,7,2,1,2,3,23,1,4,2,0,0,0,22,13,1,18,0,54
pid33c8a822bccabf26a97b70d1e7f751f1,2,62.5,22,1,8,10,2,4,4,3,4,30,28,21,41,User,62.5,assim_bias,assim_bias,2,20,accommodater,7,14,676754,50,4,35,100409,1,10,17,149,3,9,12,7,3,0,2,1,5,1,1,0,0,0,0,4,2,2,3,1,12
pid37dc9562aada50534f1beac6b433df54,0,47.5,23,0,7,8,4,2,3,1,4,44,19,29,28,DC,47.5,guess,menu,25,-1,assimilator,16,7,1013968,63,1,53,176104,9,10,22,272,11,7,16,3,3,0,2,5,8,0,1,1,0,1,0,4,5,0,8,2,19
pid386947c9fd791fe84ed1144d90068c6d,0,85,24,5,3,10,2,4,4,2,2,31,19,36,34,User,85,assim_bias,assim_bias,12,-2,assimilator,3,8,660926,45,0,37,119439,2,11,13,175,2,7,11,7,3,0,4,0,4,1,2,1,0,0,0,2,2,0,4,0,8
